run,seed,regeneration-rate,num-turtles,search-radius,knowledge-gain,old-age,metabolism,shock-prob,reproduction-cost,[steps],numTurtles,meanFood,totKnowledge,knowledgeTranferred
199,9,0.2,100,5,0.1,75,0.1,0.1,0.5,71,0,0,0,0
200,10,0.2,100,5,0.1,75,0.1,0.1,0.5,168,0,0,0,0
201,1,0.5,100,5,0.1,75,0.1,0.1,0.5,139,0,0,0,0
202,2,0.5,100,5,0.1,75,0.1,0.1,0.5,90,0,0,0,0
203,3,0.5,100,5,0.1,75,0.1,0.1,0.5,151,0,0,0,0
204,4,0.5,100,5,0.1,75,0.1,0.1,0.5,173,0,0,0,0
205,5,0.5,100,5,0.1,75,0.1,0.1,0.5,63,0,0,0,0
206,6,0.5,100,5,0.1,75,0.1,0.1,0.5,61,0,0,0,0
207,7,0.5,100,5,0.1,75,0.1,0.1,0.5,261,0,0,0,0
208,8,0.5,100,5,0.1,75,0.1,0.1,0.5,174,0,0,0,0
209,9,0.5,100,5,0.1,75,0.1,0.1,0.5,102,0,0,0,0
210,10,0.5,100,5,0.1,75,0.1,0.1,0.5,273,0,0,0,0
211,1,0.1,100,5,0.25,75,0.1,0.1,0.5,353,0,0,0,0
212,2,0.1,100,5,0.25,75,0.1,0.1,0.5,999,102,0.935294118,130.75,95.75
213,3,0.1,100,5,0.25,75,0.1,0.1,0.5,215,0,0,0,0
214,4,0.1,100,5,0.25,75,0.1,0.1,0.5,101,0,0,0,0
215,5,0.1,100,5,0.25,75,0.1,0.1,0.5,35,0,0,0,0
216,6,0.1,100,5,0.25,75,0.1,0.1,0.5,666,0,0,0,0
217,7,0.1,100,5,0.25,75,0.1,0.1,0.5,142,0,0,0,0
218,8,0.1,100,5,0.25,75,0.1,0.1,0.5,316,0,0,0,0
219,9,0.1,100,5,0.25,75,0.1,0.1,0.5,300,0,0,0,0
220,10,0.1,100,5,0.25,75,0.1,0.1,0.5,411,0,0,0,0
221,1,0.2,100,5,0.25,75,0.1,0.1,0.5,999,98,1.712755102,82,72
222,2,0.2,100,5,0.25,75,0.1,0.1,0.5,300,2042,1.45367287,2783,2341.75
223,3,0.2,100,5,0.25,75,0.1,0.1,0.5,79,2025,1.432765432,2162,1791.75
224,4,0.2,100,5,0.25,75,0.1,0.1,0.5,346,0,0,0,0
225,5,0.2,100,5,0.25,75,0.1,0.1,0.5,121,0,0,0,0
226,6,0.2,100,5,0.25,75,0.1,0.1,0.5,112,0,0,0,0
227,7,0.2,100,5,0.25,75,0.1,0.1,0.5,999,19,1.536842105,5,5
228,8,0.2,100,5,0.25,75,0.1,0.1,0.5,297,0,0,0,0
229,9,0.2,100,5,0.25,75,0.1,0.1,0.5,149,2117,1.376098252,2147.25,1823.5
230,10,0.2,100,5,0.25,75,0.1,0.1,0.5,134,0,0,0,0
231,1,0.5,100,5,0.25,75,0.1,0.1,0.5,152,2156,2.679012059,3019.5,2937
232,2,0.5,100,5,0.25,75,0.1,0.1,0.5,237,2020,1.455717822,2452.75,2365.5
233,3,0.5,100,5,0.25,75,0.1,0.1,0.5,129,2075,1.802144578,1998.25,1891.75
234,4,0.5,100,5,0.25,75,0.1,0.1,0.5,510,0,0,0,0
235,5,0.5,100,5,0.25,75,0.1,0.1,0.5,494,2028,1.896079882,2472.75,2300.25
236,6,0.5,100,5,0.25,75,0.1,0.1,0.5,374,2133,1.429371777,2970,2430.25
237,7,0.5,100,5,0.25,75,0.1,0.1,0.5,315,2015,1.163970223,2913,2430.75
238,8,0.5,100,5,0.25,75,0.1,0.1,0.5,150,2115,2.615390071,2560.5,2256
239,9,0.5,100,5,0.25,75,0.1,0.1,0.5,437,0,0,0,0
240,10,0.5,100,5,0.25,75,0.1,0.1,0.5,99,0,0,0,0
241,1,0.1,100,5,0.5,75,0.1,0.1,0.5,164,2135,2.570819672,4374,3508
242,2,0.1,100,5,0.5,75,0.1,0.1,0.5,249,2016,1.396875,4129,3744.5
243,3,0.1,100,5,0.5,75,0.1,0.1,0.5,119,2100,1.260571429,3122.5,3122.5
244,4,0.1,100,5,0.5,75,0.1,0.1,0.5,146,2120,1.991839623,6515,5299.5
245,5,0.1,100,5,0.5,75,0.1,0.1,0.5,111,2210,2.064977376,4271.5,4099
246,6,0.1,100,5,0.5,75,0.1,0.1,0.5,92,2164,1.807624769,5220,4215.5
247,7,0.1,100,5,0.5,75,0.1,0.1,0.5,106,2137,4.360271409,5617.5,4410.5
248,8,0.1,100,5,0.5,75,0.1,0.1,0.5,175,2062,1.353394762,3899.5,3879
249,9,0.1,100,5,0.5,75,0.1,0.1,0.5,157,2137,1.616471689,3704,3194
250,10,0.1,100,5,0.5,75,0.1,0.1,0.5,189,2085,1.41971223,4397.5,3230
251,1,0.2,100,5,0.5,75,0.1,0.1,0.5,69,2070,2.539178744,3705.5,3531.5
252,2,0.2,100,5,0.5,75,0.1,0.1,0.5,127,2150,1.418697674,4964,4273
253,3,0.2,100,5,0.5,75,0.1,0.1,0.5,49,2269,2.576773909,4674.5,4593
254,4,0.2,100,5,0.5,75,0.1,0.1,0.5,69,2094,3.826599809,4291.5,4218.5
255,5,0.2,100,5,0.5,75,0.1,0.1,0.5,114,2051,3.017357387,4549.5,3398
256,6,0.2,100,5,0.5,75,0.1,0.1,0.5,152,2101,1.340885293,4353.5,3922.5
257,7,0.2,100,5,0.5,75,0.1,0.1,0.5,83,2125,5.034023529,7056.5,3741
258,8,0.2,100,5,0.5,75,0.1,0.1,0.5,74,2209,2.191806247,4068,3246
259,9,0.2,100,5,0.5,75,0.1,0.1,0.5,113,2015,1.188039702,3505.5,3505.5
260,10,0.2,100,5,0.5,75,0.1,0.1,0.5,101,2051,3.760994637,6309,3877
261,1,0.5,100,5,0.5,75,0.1,0.1,0.5,85,2034,2.29719764,3239,2934.5
262,2,0.5,100,5,0.5,75,0.1,0.1,0.5,81,2130,4.545539906,4107,3505
263,3,0.5,100,5,0.5,75,0.1,0.1,0.5,40,2125,2.923341176,3835,3337
264,4,0.5,100,5,0.5,75,0.1,0.1,0.5,80,2121,3.048467704,5908,4628
265,5,0.5,100,5,0.5,75,0.1,0.1,0.5,116,2134,3.285895033,7120.5,3959.5
266,6,0.5,100,5,0.5,75,0.1,0.1,0.5,90,2010,1.321442786,5679.5,4446
267,7,0.5,100,5,0.5,75,0.1,0.1,0.5,129,2062,2.580116392,5855.5,3721
268,8,0.5,100,5,0.5,75,0.1,0.1,0.5,78,2024,2.632608696,4442.5,3341.5
269,9,0.5,100,5,0.5,75,0.1,0.1,0.5,108,2195,1.935034169,5760,4569.5
270,10,0.5,100,5,0.5,75,0.1,0.1,0.5,106,2118,1.976203966,3726.5,3588.5
271,1,0.1,100,5,0.1,75,0.25,0.1,0.5,56,0,0,0,0
272,2,0.1,100,5,0.1,75,0.25,0.1,0.5,32,0,0,0,0
273,3,0.1,100,5,0.1,75,0.25,0.1,0.5,63,0,0,0,0
274,4,0.1,100,5,0.1,75,0.25,0.1,0.5,34,0,0,0,0
275,5,0.1,100,5,0.1,75,0.25,0.1,0.5,43,0,0,0,0
276,6,0.1,100,5,0.1,75,0.25,0.1,0.5,47,0,0,0,0
277,7,0.1,100,5,0.1,75,0.25,0.1,0.5,37,0,0,0,0
278,8,0.1,100,5,0.1,75,0.25,0.1,0.5,49,0,0,0,0
279,9,0.1,100,5,0.1,75,0.25,0.1,0.5,18,0,0,0,0
280,10,0.1,100,5,0.1,75,0.25,0.1,0.5,39,0,0,0,0
281,1,0.2,100,5,0.1,75,0.25,0.1,0.5,75,0,0,0,0
282,2,0.2,100,5,0.1,75,0.25,0.1,0.5,32,0,0,0,0
283,3,0.2,100,5,0.1,75,0.25,0.1,0.5,62,0,0,0,0
284,4,0.2,100,5,0.1,75,0.25,0.1,0.5,25,0,0,0,0
285,5,0.2,100,5,0.1,75,0.25,0.1,0.5,78,0,0,0,0
