[run number],seed,regeneration-rate,num-turtles,search-radius,knowledge-gain,old-age,metabolism,shock-prob,reproduction-cost,[steps],variable,value
105,,,,,,,,,,92,totKnowledge,0
106,6,0.5,100,5,0.1,75,0.25,0,0.5,47,numTurtles,0
106,,,,,,,,,,47,meanFood,0
106,,,,,,,,,,47,totKnowledge,0
107,7,0.5,100,5,0.1,75,0.25,0,0.5,34,numTurtles,0
107,,,,,,,,,,34,meanFood,0
107,,,,,,,,,,34,totKnowledge,0
108,8,0.5,100,5,0.1,75,0.25,0,0.5,30,numTurtles,0
108,,,,,,,,,,30,meanFood,0
108,,,,,,,,,,30,totKnowledge,0
109,9,0.5,100,5,0.1,75,0.25,0,0.5,45,numTurtles,0
109,,,,,,,,,,45,meanFood,0
109,,,,,,,,,,45,totKnowledge,0
110,10,0.5,100,5,0.1,75,0.25,0,0.5,56,numTurtles,0
110,,,,,,,,,,56,meanFood,0
110,,,,,,,,,,56,totKnowledge,0
111,1,1,100,5,0.1,75,0.25,0,0.5,38,numTurtles,0
111,,,,,,,,,,38,meanFood,0
111,,,,,,,,,,38,totKnowledge,0
112,2,1,100,5,0.1,75,0.25,0,0.5,147,numTurtles,0
112,,,,,,,,,,147,meanFood,0
112,,,,,,,,,,147,totKnowledge,0
113,3,1,100,5,0.1,75,0.25,0,0.5,63,numTurtles,0
113,,,,,,,,,,63,meanFood,0
113,,,,,,,,,,63,totKnowledge,0
114,4,1,100,5,0.1,75,0.25,0,0.5,66,numTurtles,0
114,,,,,,,,,,66,meanFood,0
114,,,,,,,,,,66,totKnowledge,0
115,5,1,100,5,0.1,75,0.25,0,0.5,92,numTurtles,0
115,,,,,,,,,,92,meanFood,0
115,,,,,,,,,,92,totKnowledge,0
116,6,1,100,5,0.1,75,0.25,0,0.5,47,numTurtles,0
116,,,,,,,,,,47,meanFood,0
116,,,,,,,,,,47,totKnowledge,0
117,7,1,100,5,0.1,75,0.25,0,0.5,34,numTurtles,0
117,,,,,,,,,,34,meanFood,0
117,,,,,,,,,,34,totKnowledge,0
118,8,1,100,5,0.1,75,0.25,0,0.5,30,numTurtles,0
118,,,,,,,,,,30,meanFood,0
118,,,,,,,,,,30,totKnowledge,0
119,9,1,100,5,0.1,75,0.25,0,0.5,45,numTurtles,0
119,,,,,,,,,,45,meanFood,0
119,,,,,,,,,,45,totKnowledge,0
120,10,1,100,5,0.1,75,0.25,0,0.5,56,numTurtles,0
120,,,,,,,,,,56,meanFood,0
120,,,,,,,,,,56,totKnowledge,0
121,1,0.2,100,5,0.25,75,0.25,0,0.5,38,numTurtles,0
121,,,,,,,,,,38,meanFood,0
121,,,,,,,,,,38,totKnowledge,0
122,2,0.2,100,5,0.25,75,0.25,0,0.5,147,numTurtles,0
122,,,,,,,,,,147,meanFood,0
122,,,,,,,,,,147,totKnowledge,0
123,3,0.2,100,5,0.25,75,0.25,0,0.5,63,numTurtles,0
123,,,,,,,,,,63,meanFood,0
123,,,,,,,,,,63,totKnowledge,0
124,4,0.2,100,5,0.25,75,0.25,0,0.5,66,numTurtles,0
124,,,,,,,,,,66,meanFood,0
124,,,,,,,,,,66,totKnowledge,0
125,5,0.2,100,5,0.25,75,0.25,0,0.5,92,numTurtles,0
125,,,,,,,,,,92,meanFood,0
125,,,,,,,,,,92,totKnowledge,0
126,6,0.2,100,5,0.25,75,0.25,0,0.5,47,numTurtles,0
126,,,,,,,,,,47,meanFood,0
126,,,,,,,,,,47,totKnowledge,0
127,7,0.2,100,5,0.25,75,0.25,0,0.5,34,numTurtles,0
127,,,,,,,,,,34,meanFood,0
127,,,,,,,,,,34,totKnowledge,0
128,8,0.2,100,5,0.25,75,0.25,0,0.5,30,numTurtles,0
128,,,,,,,,,,30,meanFood,0
128,,,,,,,,,,30,totKnowledge,0
129,9,0.2,100,5,0.25,75,0.25,0,0.5,45,numTurtles,0
129,,,,,,,,,,45,meanFood,0
129,,,,,,,,,,45,totKnowledge,0
130,10,0.2,100,5,0.25,75,0.25,0,0.5,56,numTurtles,0
130,,,,,,,,,,56,meanFood,0
130,,,,,,,,,,56,totKnowledge,0
131,1,0.5,100,5,0.25,75,0.25,0,0.5,38,numTurtles,0
131,,,,,,,,,,38,meanFood,0
131,,,,,,,,,,38,totKnowledge,0
132,2,0.5,100,5,0.25,75,0.25,0,0.5,147,numTurtles,0
132,,,,,,,,,,147,meanFood,0
132,,,,,,,,,,147,totKnowledge,0
133,3,0.5,100,5,0.25,75,0.25,0,0.5,63,numTurtles,0
133,,,,,,,,,,63,meanFood,0
